dept_no,emp_no,first_name,last_name,title,birth_date,gender,from_date,to_date,salary
d004,44959,Volkmar,Uhrik,Engineer,1965-01-21,F,1988-01-16,1995-01-16,60432
d004,44959,Volkmar,Uhrik,Senior Engineer,1965-01-21,F,1995-01-16,9999-01-01,60432
d005,45162,Dulce,Speel,Engineer,1965-01-11,F,1987-10-19,1996-10-18,58610
d005,45162,Dulce,Speel,Senior Engineer,1965-01-11,F,1996-10-18,9999-01-01,58610
d006,45590,Masoud,Genin,Technique Leader,1965-01-21,F,1991-02-16,1994-06-01,42484
d007,46328,Wuxu,Trogemann,Senior Staff,1965-01-05,F,1997-01-27,9999-01-01,76950
d004,46811,Junsik,Berendt,Senior Engineer,1965-01-10,M,1988-04-27,9999-01-01,52228
d005,47262,Gonzalo,Binkley,Engineer,1965-01-10,M,1985-08-16,1990-08-16,40000
d005,47262,Gonzalo,Binkley,Senior Engineer,1965-01-10,M,1990-08-16,9999-01-01,40000
d005,47515,Naraig,Jenevein,Senior Engineer,1965-01-26,M,1987-01-18,9999-01-01,50098
d007,48275,Sariel,Massonet,Senior Staff,1965-01-29,F,1993-11-19,9999-01-01,67799
d007,48275,Sariel,Massonet,Staff,1965-01-29,F,1987-11-20,1993-11-19,67799
d001,50670,Boguslaw,Snedden,Senior Staff,1965-01-30,F,1993-02-20,9999-01-01,64895
d001,50670,Boguslaw,Snedden,Staff,1965-01-30,F,1985-02-20,1993-02-20,64895
d007,51036,Chriss,Fasbender,Staff,1965-01-29,F,1995-05-23,9999-01-01,55121
d005,51142,Rosine,Lakshmanan,Engineer,1965-01-29,F,1986-01-31,1991-01-31,46516
d005,51142,Rosine,Lakshmanan,Senior Engineer,1965-01-29,F,1991-01-31,9999-01-01,46516
d004,52038,Chikako,Armand,Senior Engineer,1965-01-13,M,1985-05-18,9999-01-01,52102
d007,52386,Adas,Denti,Senior Staff,1965-01-28,M,1995-05-30,9999-01-01,65342
d007,52386,Adas,Denti,Staff,1965-01-28,M,1986-05-30,1995-05-30,65342
d004,52599,Augustine,Mungall,Engineer,1965-01-25,F,1987-08-31,1996-08-30,48897
d009,52599,Augustine,Mungall,Engineer,1965-01-25,F,1987-08-31,1996-08-30,48897
d004,52599,Augustine,Mungall,Senior Engineer,1965-01-25,F,1996-08-30,9999-01-01,48897
d009,52599,Augustine,Mungall,Senior Engineer,1965-01-25,F,1996-08-30,9999-01-01,48897
d007,52770,Shugo,Yurek,Senior Staff,1965-01-31,M,1998-08-28,9999-01-01,65588
d007,52770,Shugo,Yurek,Staff,1965-01-31,M,1992-08-28,1998-08-28,65588
d006,52778,Alain,Penn,Technique Leader,1965-01-15,M,1986-05-03,9999-01-01,46041
d004,52956,Khalil,Picci,Engineer,1965-01-31,F,1987-03-21,1992-03-20,40000
d006,52956,Khalil,Picci,Engineer,1965-01-31,F,1987-03-21,1992-03-20,40000
d004,52956,Khalil,Picci,Senior Engineer,1965-01-31,F,1992-03-20,9999-01-01,40000
d006,52956,Khalil,Picci,Senior Engineer,1965-01-31,F,1992-03-20,9999-01-01,40000
d004,52970,Lobel,Werthner,Engineer,1965-01-22,M,1988-03-17,1997-03-17,47552
d004,52970,Lobel,Werthner,Senior Engineer,1965-01-22,M,1997-03-17,9999-01-01,47552
d004,53088,Mechthild,Lamma,Engineer,1965-01-25,M,1986-05-19,1992-05-18,40000
d004,53088,Mechthild,Lamma,Senior Engineer,1965-01-25,M,1992-05-18,1993-06-03,40000
d007,53278,Premsyl,Lortz,Senior Staff,1965-01-31,M,1999-02-01,9999-01-01,67503
d007,53278,Premsyl,Lortz,Staff,1965-01-31,M,1993-02-01,1999-02-01,67503
d001,53431,Sham,Vasanthakumar,Senior Staff,1965-01-12,M,1985-10-24,9999-01-01,60379
d009,53431,Sham,Vasanthakumar,Senior Staff,1965-01-12,M,1985-10-24,9999-01-01,60379
d005,53597,Jiafu,Marchegay,Engineer,1965-01-30,M,1985-03-02,1992-03-02,41626
d005,53597,Jiafu,Marchegay,Senior Engineer,1965-01-30,M,1992-03-02,9999-01-01,41626
d001,53874,Bodo,Schade,Senior Staff,1965-01-23,M,1995-02-14,9999-01-01,51955
d001,53874,Bodo,Schade,Staff,1965-01-23,M,1986-02-14,1995-02-14,51955
d004,53924,Arnould,Gaughan,Engineer,1965-01-27,F,1991-01-23,1998-01-23,40000
d004,53924,Arnould,Gaughan,Senior Engineer,1965-01-27,F,1998-01-23,9999-01-01,40000
d005,54198,Shaowen,Segond,Engineer,1965-01-01,M,1986-01-06,1993-01-06,40000
d005,54198,Shaowen,Segond,Senior Engineer,1965-01-01,M,1993-01-06,9999-01-01,40000
d004,55799,Jianwen,Litzler,Engineer,1965-01-23,F,1987-06-17,1993-06-16,61980
d004,55799,Jianwen,Litzler,Senior Engineer,1965-01-23,F,1993-06-16,9999-01-01,61980
d007,55857,Adin,Scallan,Senior Staff,1965-01-18,M,1996-09-14,9999-01-01,70416
d007,55857,Adin,Scallan,Staff,1965-01-18,M,1987-09-15,1996-09-14,70416
d004,56209,Remzi,Douceur,Engineer,1965-01-19,M,1992-12-01,1998-12-01,54373
d004,56209,Remzi,Douceur,Senior Engineer,1965-01-19,M,1998-12-01,9999-01-01,54373
d002,56415,Sigeru,Nivat,Senior Staff,1965-01-30,M,1999-10-24,9999-01-01,51148
d002,56415,Sigeru,Nivat,Staff,1965-01-30,M,1991-10-24,1999-10-24,51148
d007,56428,Olivera,Hanabata,Senior Staff,1965-01-27,M,1992-11-09,9999-01-01,43255
d007,56428,Olivera,Hanabata,Staff,1965-01-27,M,1986-11-10,1992-11-09,43255
d005,56682,Roded,Picco,Assistant Engineer,1965-01-28,F,1993-11-06,9999-01-01,40000
d004,56847,Menkae,Chinin,Senior Engineer,1965-01-14,M,1989-08-19,9999-01-01,44031
d006,56847,Menkae,Chinin,Senior Engineer,1965-01-14,M,1989-08-19,9999-01-01,44031
d001,58147,Shigenori,Sullins,Senior Staff,1965-01-09,M,1988-02-24,9999-01-01,55703
d007,58819,Gennady,Liesche,Senior Staff,1965-01-04,F,1987-12-02,9999-01-01,71147
d007,59329,Zissis,Bazzichi,Staff,1965-01-15,M,1987-02-07,1991-01-25,40000
d004,59661,Saeko,Baik,Staff,1965-01-09,M,1996-05-23,1999-08-15,49077
d008,59661,Saeko,Baik,Staff,1965-01-09,M,1996-05-23,1999-08-15,49077
d001,59869,Zsolt,Riefers,Senior Staff,1965-02-01,M,1994-09-25,9999-01-01,56247
d001,59869,Zsolt,Riefers,Staff,1965-02-01,M,1987-09-25,1994-09-25,56247
d009,60091,Surveyors,Bade,Senior Staff,1965-02-01,F,1996-04-10,9999-01-01,46436
d009,60091,Surveyors,Bade,Staff,1965-02-01,F,1990-04-11,1996-04-10,46436
d004,60559,Jeanna,Stemann,Engineer,1965-01-19,M,1988-08-29,1996-08-29,41261
d004,60559,Jeanna,Stemann,Senior Engineer,1965-01-19,M,1996-08-29,9999-01-01,41261
d005,61253,Cheong,Uhrik,Engineer,1965-01-09,M,1996-06-04,2001-06-04,40000
d008,61253,Cheong,Uhrik,Engineer,1965-01-09,M,1996-06-04,2001-06-04,40000
d005,61253,Cheong,Uhrik,Senior Engineer,1965-01-09,M,2001-06-04,9999-01-01,40000
d008,61253,Cheong,Uhrik,Senior Engineer,1965-01-09,M,2001-06-04,9999-01-01,40000
d004,61377,Dannz,Ohori,Senior Staff,1965-01-01,M,1994-01-17,9999-01-01,40000
d009,61377,Dannz,Ohori,Senior Staff,1965-01-01,M,1994-01-17,9999-01-01,40000
d004,61377,Dannz,Ohori,Staff,1965-01-01,M,1988-01-18,1994-01-17,40000
d009,61377,Dannz,Ohori,Staff,1965-01-01,M,1988-01-18,1994-01-17,40000
d007,61680,Hauke,Templeman,Staff,1965-01-24,M,1991-10-23,1999-02-21,53505
d004,62033,Heeju,Cappelli,Engineer,1965-01-24,M,1987-01-15,1994-01-15,69343
d004,62033,Heeju,Cappelli,Senior Engineer,1965-01-24,M,1994-01-15,9999-01-01,69343
d004,62167,Mihalis,Haldar,Senior Engineer,1965-01-25,F,1998-05-11,2001-02-03,40000
d005,62245,Adel,Bressoud,Engineer,1965-01-01,F,1995-08-30,9999-01-01,40000
d004,63294,Tetsushi,Tanemo,Engineer,1965-01-23,M,1997-03-01,2002-03-01,40000
d004,63294,Tetsushi,Tanemo,Senior Engineer,1965-01-23,M,2002-03-01,9999-01-01,40000
d004,63419,Hiroyasu,Seuren,Senior Engineer,1965-01-14,F,1989-03-05,9999-01-01,40000
d002,63444,Padma,Peres,Senior Staff,1965-01-19,F,1991-02-20,1994-12-22,65631
d002,63444,Padma,Peres,Staff,1965-01-19,F,1985-02-20,1991-02-20,65631
d004,63631,Falguni,Cherinka,Senior Engineer,1965-01-22,M,1986-09-08,9999-01-01,40000
d009,63631,Falguni,Cherinka,Senior Engineer,1965-01-22,M,1986-09-08,9999-01-01,40000
d005,63706,Sedat,Itzigehl,Engineer,1965-01-26,F,1997-07-31,9999-01-01,46185
d009,64209,Golgen,Schoegge,Senior Staff,1965-01-24,M,1988-02-26,9999-01-01,40000
d004,64431,Faiza,Zongker,Technique Leader,1965-01-25,M,1995-12-10,2001-12-03,42352
d006,64487,Tsutomu,Rebaine,Engineer,1965-01-27,M,1986-09-17,1994-09-17,42874
d006,64487,Tsutomu,Rebaine,Senior Engineer,1965-01-27,M,1994-09-17,9999-01-01,42874
d005,64790,Shin,Piveteau,Engineer,1965-01-29,M,1985-04-19,1993-04-19,59783
d005,64790,Shin,Piveteau,Senior Engineer,1965-01-29,M,1993-04-19,9999-01-01,59783
d007,64828,Krister,Pappas,Staff,1965-01-27,F,1999-09-30,9999-01-01,61091
d004,64984,Eldridge,Eldridge,Engineer,1965-01-06,F,1986-06-24,1991-06-24,40000
d006,64984,Eldridge,Eldridge,Engineer,1965-01-06,F,1986-06-24,1991-06-24,40000
d004,64984,Eldridge,Eldridge,Senior Engineer,1965-01-06,F,1991-06-24,9999-01-01,40000
d006,64984,Eldridge,Eldridge,Senior Engineer,1965-01-06,F,1991-06-24,9999-01-01,40000
d005,65013,Chandrasekaran,Peral,Engineer,1965-01-03,M,1985-02-28,1992-02-29,54474
d005,65013,Chandrasekaran,Peral,Senior Engineer,1965-01-03,M,1992-02-29,2001-12-14,54474
d007,65998,Mandell,Alameldin,Senior Staff,1965-01-09,F,1996-04-08,9999-01-01,85937
d007,65998,Mandell,Alameldin,Staff,1965-01-09,F,1989-04-08,1996-04-08,85937
d004,66382,Domenico,Candan,Engineer,1965-01-04,F,1997-07-13,9999-01-01,55428
d008,66530,Dung,Leaver,Staff,1965-01-29,M,1998-04-04,9999-01-01,40000
d005,66702,Deniz,Thibadeau,Engineer,1965-02-01,F,1994-09-27,2000-09-26,52161
d005,66702,Deniz,Thibadeau,Senior Engineer,1965-02-01,F,2000-09-26,9999-01-01,52161
d005,66807,Aiman,Rosaz,Engineer,1965-01-21,F,1990-05-22,1999-05-22,50982
d005,66807,Aiman,Rosaz,Senior Engineer,1965-01-21,F,1999-05-22,9999-01-01,50982
d001,67320,Sadok,Lorys,Senior Staff,1965-01-18,M,1987-05-10,9999-01-01,89952
d004,67934,Aiman,Gargeya,Engineer,1965-01-07,M,1985-03-07,1993-03-07,54347
d004,67934,Aiman,Gargeya,Senior Engineer,1965-01-07,M,1993-03-07,9999-01-01,54347
