dept_name,emp_no,first_name,last_name,birth_date,gender,title,from_date,to_date
Production,472950,Weidon,Fordan,1965-01-29,F,Senior Engineer,1986-03-27,9999-01-01
Sales,460920,Remzi,Mitzlaff,1965-01-22,F,Senior Staff,1986-04-06,9999-01-01
Research,266862,Mart,Plumb,1965-01-10,F,Senior Staff,1986-04-21,9999-01-01
Quality Management,52778,Alain,Penn,1965-01-15,M,Technique Leader,1986-05-03,9999-01-01
Sales,36626,Fen,Genin,1965-01-02,M,Senior Staff,1986-05-09,9999-01-01
Sales,230689,Dietrich,Crabtree,1965-01-14,F,Senior Staff,1986-05-24,9999-01-01
Development,277829,Michaela,Fandrianto,1965-01-22,M,Senior Engineer,1986-06-02,9999-01-01
Research,451275,Bedrich,Isard,1965-01-25,M,Senior Staff,1986-06-07,9999-01-01
Development,450255,Udo,Waymire,1965-01-31,M,Technique Leader,1986-06-14,9999-01-01
Customer Service,85874,Pasqua,Taubman,1965-01-30,F,Senior Staff,1986-06-23,9999-01-01
Production,234739,Foong,Aamodt,1965-01-31,M,Senior Engineer,1986-06-28,9999-01-01
Sales,275801,Ayakannu,Heinisuo,1965-01-22,F,Senior Staff,1986-06-28,9999-01-01
Sales,416420,Adamantios,Heemskerk,1965-01-22,M,Senior Staff,1986-08-08,9999-01-01
Development,445570,Van,Nations,1965-01-25,F,Technique Leader,1986-08-11,9999-01-01
Production,481764,Teiji,Marrakchi,1965-01-27,M,Senior Engineer,1986-08-26,9999-01-01
Development,28974,Chenxi,Sundgren,1965-01-09,F,Senior Engineer,1986-09-02,9999-01-01
Production,63631,Falguni,Cherinka,1965-01-22,M,Senior Engineer,1986-09-08,9999-01-01
Development,29679,Kolar,Steenbeek,1965-01-17,M,Senior Engineer,1986-10-18,9999-01-01
Production,474796,Zongyan,Shackel,1965-01-10,M,Technique Leader,1986-11-09,9999-01-01
Sales,78106,Ashish,Ratnaker,1965-01-09,M,Senior Staff,1986-11-10,9999-01-01
Development,40983,Marla,Cherinka,1965-01-17,F,Technique Leader,1986-12-01,9999-01-01
Development,79606,Arnd,Peir,1965-01-03,F,Senior Engineer,1986-12-11,9999-01-01
Development,263439,Atreye,Kabayashi,1965-01-09,M,Senior Engineer,1986-12-15,9999-01-01
Production,23396,Hilari,Fairtlough,1965-01-02,F,Technique Leader,1986-12-15,9999-01-01
Development,34446,Chinhyun,Bauknecht,1965-01-31,M,Senior Engineer,1986-12-19,9999-01-01
Quality Management,450309,Gill,Orlowska,1965-01-08,M,Technique Leader,1986-12-25,9999-01-01
Development,47515,Naraig,Jenevein,1965-01-26,M,Senior Engineer,1987-01-18,9999-01-01
Production,402664,Subhada,Janetzko,1965-01-04,F,Senior Engineer,1987-01-25,9999-01-01
Sales,105520,Haldun,Lienhardt,1965-01-01,M,Senior Staff,1987-01-29,9999-01-01
Customer Service,401420,Florian,Uhrig,1965-01-06,F,Senior Staff,1987-01-31,9999-01-01
Development,107486,Siamak,Luiz,1965-01-23,F,Senior Engineer,1987-02-11,9999-01-01
Quality Management,38550,JoAnne,Baez,1965-01-14,F,Senior Engineer,1987-02-16,9999-01-01
Production,463212,Ramya,Rossi,1965-01-09,F,Senior Engineer,1987-03-02,9999-01-01
Development,83805,Manohar,Harllee,1965-01-23,F,Senior Engineer,1987-03-11,9999-01-01
Human Resources,202950,Giordano,Pietrzykowski,1965-01-17,F,Senior Staff,1987-03-26,9999-01-01
Sales,74668,Masako,Bonifati,1965-01-01,F,Senior Staff,1987-04-09,9999-01-01
Production,452956,Gou,Thombley,1965-01-17,M,Senior Engineer,1987-04-09,9999-01-01
Production,235368,Anneli,Joslin,1965-01-09,M,Senior Engineer,1987-04-12,9999-01-01
Finance,262208,Mrinalini,Holburn,1965-01-16,M,Senior Staff,1987-04-20,9999-01-01
Marketing,67320,Sadok,Lorys,1965-01-18,M,Senior Staff,1987-05-10,9999-01-01
Human Resources,293080,Hideyuki,Slaats,1965-01-12,M,Senior Staff,1987-05-30,9999-01-01
Production,261184,Masako,Kornatzky,1965-01-30,M,Senior Engineer,1987-08-29,9999-01-01
Production,296664,Dipayan,Geffroy,1965-01-31,M,Senior Engineer,1987-09-17,9999-01-01
Production,406125,Georgi,Portugali,1965-01-25,F,Technique Leader,1987-09-27,9999-01-01
Sales,238949,Minghong,Cronin,1965-01-09,F,Senior Staff,1987-10-04,9999-01-01
Sales,41609,Yucai,Simmen,1965-01-04,F,Senior Staff,1987-10-13,9999-01-01
Sales,58819,Gennady,Liesche,1965-01-04,F,Senior Staff,1987-12-02,9999-01-01
Production,296718,Kamakshi,Bahl,1965-01-30,F,Senior Engineer,1987-12-22,9999-01-01
Development,233114,Alselm,Gargeya,1965-01-20,M,Senior Engineer,1987-12-25,9999-01-01
Production,401574,Yannik,Falco,1965-01-13,M,Technique Leader,1988-01-15,9999-01-01
Development,284711,Martijn,Azevdeo,1965-01-21,M,Senior Engineer,1988-02-10,9999-01-01
Quality Management,284561,Duri,Beznosov,1965-01-03,F,Senior Engineer,1988-02-15,9999-01-01
Sales,21546,Yongmin,Lanteri,1965-01-01,F,Senior Staff,1988-02-16,9999-01-01
Quality Management,84942,Shin,Fujisaki,1965-01-15,F,Technique Leader,1988-02-23,9999-01-01
Development,87783,Conor,Thorensen,1965-01-26,M,Senior Engineer,1988-02-24,9999-01-01
Marketing,58147,Shigenori,Sullins,1965-01-09,M,Senior Staff,1988-02-24,9999-01-01
Customer Service,64209,Golgen,Schoegge,1965-01-24,M,Senior Staff,1988-02-26,9999-01-01
Human Resources,436827,Wojceich,Limongiello,1965-01-30,F,Senior Staff,1988-03-10,9999-01-01
Production,295255,Jacopo,Bellone,1965-01-04,M,Technique Leader,1988-03-13,9999-01-01
Development,41520,Xiong,Uhrik,1965-01-20,M,Senior Engineer,1988-03-21,9999-01-01
Production,93600,Kristina,Neimat,1965-01-13,M,Technique Leader,1988-04-18,9999-01-01
Development,457411,Xudong,Peck,1965-01-13,M,Senior Engineer,1988-04-18,9999-01-01
Production,46811,Junsik,Berendt,1965-01-10,M,Senior Engineer,1988-04-27,9999-01-01
Quality Management,219035,Kristine,Bierman,1965-01-18,F,Technique Leader,1988-05-13,9999-01-01
Production,275881,Jiann,Munro,1965-01-08,M,Senior Engineer,1988-05-18,9999-01-01
Research,32649,Ingmar,Nannarelli,1965-01-12,M,Senior Staff,1988-06-10,9999-01-01
Sales,413205,Mototsugu,Prampolini,1965-01-09,M,Senior Staff,1988-06-12,9999-01-01
Finance,109598,Stamatina,Auyong,1965-02-01,M,Senior Staff,1988-07-05,9999-01-01
Sales,423038,Takushi,Strehl,1965-01-20,M,Senior Staff,1988-10-04,9999-01-01
Production,475087,Genevieve,Snedden,1965-01-31,F,Senior Engineer,1988-10-21,9999-01-01
Production,414543,Bernd,Anick,1965-01-03,F,Senior Engineer,1988-11-19,9999-01-01
Development,423993,Seshu,Kolvik,1965-01-01,F,Technique Leader,1988-12-09,9999-01-01
Production,63419,Hiroyasu,Seuren,1965-01-14,F,Senior Engineer,1989-03-05,9999-01-01
Human Resources,484126,Manton,Lueh,1965-01-05,F,Senior Staff,1989-04-07,9999-01-01
Development,273159,Divine,Hofmeyr,1965-01-26,F,Technique Leader,1989-04-14,9999-01-01
Sales,251301,Pintsang,Impagliazzo,1965-01-30,M,Senior Staff,1989-05-06,9999-01-01
Quality Management,56847,Menkae,Chinin,1965-01-14,M,Senior Engineer,1989-08-19,9999-01-01
Human Resources,447135,Gennady,Rouquie,1965-01-31,M,Senior Staff,1989-08-24,9999-01-01
Production,71685,Kristinn,Olano,1965-01-01,F,Senior Engineer,1989-10-03,9999-01-01
Development,44540,Mingzeng,Sadowski,1965-01-16,F,Senior Engineer,1989-11-12,9999-01-01
Research,469867,Hein,Jonsson,1965-01-23,M,Senior Staff,1990-02-12,9999-01-01
Production,70990,Arumugam,Nitta,1965-01-22,F,Senior Engineer,1990-03-23,9999-01-01
Research,204246,Arve,Worfolk,1965-01-09,M,Senior Staff,1990-04-01,9999-01-01
Research,443485,Marke,Klerer,1965-01-23,M,Senior Staff,1990-04-14,9999-01-01
Quality Management,410881,Koichi,Grabner,1965-01-06,F,Senior Engineer,1990-04-24,9999-01-01
Production,86546,Oldrich,Woycyznski,1965-01-09,F,Senior Engineer,1990-05-15,9999-01-01
Development,475965,Rimon,Pietracaprina,1965-01-02,M,Senior Engineer,1990-07-10,9999-01-01
Development,251680,Moty,Sommen,1965-01-05,F,Senior Engineer,1990-08-14,9999-01-01
Development,47262,Gonzalo,Binkley,1965-01-10,M,Senior Engineer,1990-08-16,9999-01-01
Marketing,90692,Rajmohan,DasSarma,1965-01-03,M,Senior Staff,1990-09-14,9999-01-01
Development,106695,Lijie,Garrabrants,1965-01-31,F,Senior Staff,1990-10-02,9999-01-01
Development,204425,Gretta,Huttel,1965-01-03,F,Senior Engineer,1990-10-08,9999-01-01
Customer Service,108091,Hisao,Ghemri,1965-01-09,M,Senior Staff,1990-11-14,9999-01-01
Research,220799,Perla,Orlowska,1965-01-17,F,Senior Engineer,1990-12-03,9999-01-01
Quality Management,34533,Erzsebet,Shigei,1965-01-10,M,Senior Engineer,1991-01-21,9999-01-01
Development,51142,Rosine,Lakshmanan,1965-01-29,F,Senior Engineer,1991-01-31,9999-01-01
Marketing,222998,Leaf,Awdeh,1965-01-07,M,Senior Staff,1991-02-20,9999-01-01
Production,240340,Mack,Staylopatis,1965-01-14,M,Senior Engineer,1991-04-02,9999-01-01
Customer Service,40773,Shimshon,Aingworth,1965-01-09,M,Senior Staff,1991-04-13,9999-01-01
Sales,434845,Takushi,Skogmar,1965-01-11,M,Senior Staff,1991-06-07,9999-01-01
Production,64984,Eldridge,Eldridge,1965-01-06,F,Senior Engineer,1991-06-24,9999-01-01
Sales,229547,Moni,Schach,1965-01-03,M,Senior Staff,1991-07-04,9999-01-01
Development,404462,Anestis,Setlzner,1965-01-09,M,Senior Engineer,1991-07-13,9999-01-01
Development,30465,Randi,Avouris,1965-01-28,M,Senior Engineer,1991-07-16,9999-01-01
Customer Service,426795,Huican,Lunn,1965-01-07,M,Senior Staff,1991-07-23,9999-01-01
Research,216054,Sahrah,Angiulli,1965-01-24,M,Senior Staff,1991-07-31,9999-01-01
Sales,217272,Yuchang,Eldridge,1965-01-21,M,Senior Staff,1991-08-01,9999-01-01
Production,430891,Khalil,Gien,1965-01-06,M,Senior Engineer,1991-08-06,9999-01-01
Marketing,266206,Zsolt,Anily,1965-02-01,F,Senior Staff,1991-08-19,9999-01-01
Production,13499,Kazuhiko,Sidou,1965-01-16,M,Technique Leader,1991-09-01,9999-01-01
Sales,429231,Kazuyasu,Schmiedel,1965-01-09,F,Senior Staff,1991-09-07,9999-01-01
Finance,482905,Aral,Hebden,1965-01-16,F,Senior Staff,1991-09-10,9999-01-01
Development,205085,Moni,Kornyak,1965-01-23,M,Technique Leader,1991-09-26,9999-01-01
Development,285396,Lena,Kohling,1965-01-27,M,Senior Engineer,1991-10-04,9999-01-01
Human Resources,428195,Hatsukazu,Rosca,1965-01-11,M,Senior Staff,1991-10-13,9999-01-01
Quality Management,407837,Fei,Erez,1965-02-01,M,Senior Engineer,1991-10-15,9999-01-01
Customer Service,408654,Yongqiao,Cochrane,1965-01-09,M,Senior Staff,1991-10-27,9999-01-01
Production,401333,Martins,Shokrollahi,1965-01-30,M,Senior Engineer,1991-11-04,9999-01-01
Research,420694,Frazer,Barbanera,1965-01-19,M,Senior Staff,1991-11-04,9999-01-01
Customer Service,80067,Kazuhisa,Weiland,1965-01-19,M,Senior Staff,1991-11-09,9999-01-01
Development,233818,Kellie,Heydon,1965-01-01,M,Senior Engineer,1991-11-11,9999-01-01
Development,431657,Visit,Thiran,1965-01-31,F,Senior Engineer,1991-11-14,9999-01-01
Development,447613,Paris,Restivo,1965-01-15,M,Senior Engineer,1991-11-21,9999-01-01
Development,470472,Zhiguo,Staudhammer,1965-02-01,F,Senior Engineer,1991-12-03,9999-01-01
Research,427313,Utpal,Kemmerer,1965-01-31,M,Senior Staff,1991-12-04,9999-01-01
Marketing,210752,Saniya,Stenning,1965-01-25,F,Senior Staff,1991-12-10,9999-01-01
Research,87729,Yongmin,Roccetti,1965-01-24,M,Senior Staff,1991-12-10,9999-01-01
Customer Service,99373,Xiaobin,Christianini,1965-01-13,M,Senior Staff,1991-12-25,9999-01-01
Customer Service,458726,Shahaf,Kitai,1965-01-13,M,Senior Staff,1991-12-26,9999-01-01
Customer Service,202414,Zvonko,Murthy,1965-01-13,F,Senior Staff,1992-01-07,9999-01-01
Production,240236,True,Tischendorf,1965-01-24,M,Senior Engineer,1992-01-19,9999-01-01
Development,218022,Mokhtar,Poupard,1965-01-26,M,Technique Leader,1992-02-02,9999-01-01
Marketing,294527,Ashish,Candan,1965-01-04,F,Senior Staff,1992-02-02,9999-01-01
Production,229220,Fabrizio,Lichtman,1965-01-21,F,Senior Engineer,1992-02-09,9999-01-01
Production,264939,Bogdan,Bahi,1965-01-10,M,Senior Engineer,1992-02-10,9999-01-01
Development,204471,Franziska,Maginnis,1965-01-27,F,Senior Engineer,1992-02-17,9999-01-01
Development,53597,Jiafu,Marchegay,1965-01-30,M,Senior Engineer,1992-03-02,9999-01-01
Customer Service,235096,Sverrir,Gyimothy,1965-01-21,M,Senior Staff,1992-03-20,9999-01-01
Quality Management,52956,Khalil,Picci,1965-01-31,F,Senior Engineer,1992-03-20,9999-01-01
Research,445152,Heping,Peac,1965-01-09,M,Senior Staff,1992-03-20,9999-01-01
Human Resources,458134,Thanasis,Standera,1965-01-11,F,Senior Staff,1992-03-20,9999-01-01
Development,89048,Otmar,Birjandi,1965-01-24,F,Senior Engineer,1992-03-23,9999-01-01
Research,290467,Shaowen,Poulakidas,1965-01-29,M,Senior Staff,1992-04-14,9999-01-01
Production,457489,Berna,Ranst,1965-01-24,F,Senior Engineer,1992-05-14,9999-01-01
Development,411070,Otmar,Brandsma,1965-01-29,F,Senior Engineer,1992-05-27,9999-01-01
Development,19803,Ziva,Kowalchuk,1965-01-30,F,Senior Engineer,1992-06-12,9999-01-01
Development,109062,Jamaludin,Kandlur,1965-02-01,M,Senior Engineer,1992-06-19,9999-01-01
Development,284687,Oksana,Redmiles,1965-01-15,F,Senior Engineer,1992-06-22,9999-01-01
Research,266310,Zvonko,Serdy,1965-01-23,F,Senior Staff,1992-06-23,9999-01-01
Production,427852,Adil,Kieras,1965-01-02,F,Senior Engineer,1992-07-20,9999-01-01
Development,224335,Perry,Chachaty,1965-01-29,F,Senior Engineer,1992-07-22,9999-01-01
Development,486958,Tonny,Kropf,1965-01-06,F,Senior Engineer,1992-07-29,9999-01-01
Development,296303,Mariangiola,Heyers,1965-01-28,F,Technique Leader,1992-08-04,9999-01-01
Development,416492,Kannan,Meriste,1965-01-15,M,Senior Engineer,1992-08-12,9999-01-01
Production,96767,Arumugam,Vecchio,1965-01-07,F,Senior Engineer,1992-08-14,9999-01-01
Marketing,425535,Alagu,Vieri,1965-01-18,F,Senior Staff,1992-08-22,9999-01-01
Production,241667,Atilio,Olivero,1965-01-28,M,Senior Engineer,1992-09-04,9999-01-01
Quality Management,247888,Abdelghani,Lagarias,1965-01-15,M,Senior Engineer,1992-09-06,9999-01-01
Development,295236,Kauko,Fujisawa,1965-01-24,M,Senior Engineer,1992-09-12,9999-01-01
Marketing,86422,Jaewon,Thummel,1965-02-01,F,Senior Staff,1992-09-14,9999-01-01
Quality Management,402025,Shigehito,Duclos,1965-01-20,F,Senior Engineer,1992-09-19,9999-01-01
Research,99654,Mahendra,Motley,1965-01-30,F,Senior Staff,1992-09-28,9999-01-01
Production,446897,Takahiro,Dalton,1965-01-22,M,Technique Leader,1992-09-30,9999-01-01
Quality Management,429087,Hugh,Senzako,1965-01-27,M,Technique Leader,1992-10-15,9999-01-01
Sales,56428,Olivera,Hanabata,1965-01-27,M,Senior Staff,1992-11-09,9999-01-01
Customer Service,432121,Alair,Straney,1965-01-06,F,Senior Staff,1992-11-14,9999-01-01
Development,206966,Tzu,Sichman,1965-01-21,M,Senior Engineer,1992-11-16,9999-01-01
Finance,426168,Kaijung,Mateescu,1965-01-10,M,Senior Staff,1992-11-17,9999-01-01
Production,483825,Marek,Mitchem,1965-01-22,M,Senior Engineer,1992-11-20,9999-01-01
Customer Service,41137,Bikash,Buchter,1965-01-20,F,Senior Staff,1992-11-22,9999-01-01
Development,446424,DAIDA,Nooteboom,1965-01-16,F,Senior Engineer,1992-11-24,9999-01-01
Sales,429381,Limsoon,Roohalamini,1965-01-06,M,Senior Staff,1992-11-25,9999-01-01
Development,222311,Miyeon,Billingsley,1965-01-20,M,Senior Engineer,1992-12-05,9999-01-01
Finance,287713,Aamod,Ranka,1965-01-23,M,Senior Staff,1992-12-07,9999-01-01
Sales,455726,Qiwen,Kriebel,1965-01-08,M,Senior Staff,1992-12-12,9999-01-01
Development,485579,Munehiro,Iwayama,1965-01-18,M,Senior Engineer,1992-12-15,9999-01-01
Sales,418717,Arunachalam,Magliocco,1965-01-20,F,Senior Staff,1992-12-22,9999-01-01
Production,280648,Heeju,Lorys,1965-01-04,M,Senior Engineer,1992-12-26,9999-01-01
Development,54198,Shaowen,Segond,1965-01-01,M,Senior Engineer,1993-01-06,9999-01-01
Sales,72918,Takahira,Szilard,1965-01-22,M,Senior Staff,1993-01-15,9999-01-01
Development,293280,Moti,Steenbeek,1965-01-24,F,Senior Engineer,1993-01-21,9999-01-01
Sales,415363,Conal,Shackell,1965-01-19,F,Senior Staff,1993-01-25,9999-01-01
Research,35441,Chandrasekaran,Peek,1965-01-31,F,Senior Engineer,1993-02-06,9999-01-01
Customer Service,37070,Jeong,Undy,1965-01-22,F,Senior Staff,1993-02-13,9999-01-01
Marketing,435289,Feixiong,Schurmann,1965-01-04,M,Senior Staff,1993-02-14,9999-01-01
Production,483675,Hausi,Kamber,1965-01-22,M,Senior Engineer,1993-02-15,9999-01-01
Marketing,50670,Boguslaw,Snedden,1965-01-30,F,Senior Staff,1993-02-20,9999-01-01
Finance,201709,Fan,Kakkad,1965-01-01,M,Senior Staff,1993-02-24,9999-01-01
Finance,488984,Kendra,Junet,1965-01-18,M,Senior Staff,1993-02-28,9999-01-01
Sales,432031,Adamantios,Matzat,1965-01-11,F,Senior Staff,1993-02-28,9999-01-01
Production,240870,Francesca,Chorvat,1965-01-06,M,Senior Staff,1993-03-03,9999-01-01
Finance,36521,Serif,Gladwell,1965-01-21,M,Senior Staff,1993-03-05,9999-01-01
Production,67934,Aiman,Gargeya,1965-01-07,M,Senior Engineer,1993-03-07,9999-01-01
Development,466509,Bezalel,Verhoeff,1965-01-26,F,Senior Engineer,1993-03-22,9999-01-01
Production,211858,Domenico,Ratnaker,1965-01-08,F,Senior Engineer,1993-03-24,9999-01-01
Human Resources,280070,Niteen,Ebeling,1965-01-24,F,Senior Staff,1993-03-29,9999-01-01
Production,71243,Kinh,Buchter,1965-01-10,F,Senior Engineer,1993-03-29,9999-01-01
Marketing,215843,Pramod,Loncour,1965-01-30,F,Senior Staff,1993-03-30,9999-01-01
Production,38103,Masasuke,Babu,1965-01-12,M,Senior Engineer,1993-03-31,9999-01-01
Sales,263926,Fusako,Schwartzbauer,1965-01-03,F,Senior Staff,1993-04-07,9999-01-01
Marketing,236591,Insup,Reinhard,1965-01-11,M,Senior Staff,1993-04-08,9999-01-01
Sales,423350,Heping,Monarch,1965-01-04,F,Senior Staff,1993-04-15,9999-01-01
Development,64790,Shin,Piveteau,1965-01-29,M,Senior Engineer,1993-04-19,9999-01-01
Research,449815,Fumitaka,Quittner,1965-01-27,M,Senior Staff,1993-04-20,9999-01-01
Human Resources,484142,Perry,Cooman,1965-01-05,M,Senior Staff,1993-04-22,9999-01-01
Development,26788,Zongyan,Dalphin,1965-01-25,M,Senior Engineer,1993-04-23,9999-01-01
Production,89922,Alexius,Ibel,1965-01-26,M,Senior Engineer,1993-04-24,9999-01-01
Production,465076,Tokuyasu,Ghelli,1965-01-19,M,Senior Engineer,1993-05-05,9999-01-01
Development,272141,Tsutomu,Neiman,1965-01-13,F,Senior Staff,1993-05-05,9999-01-01
Human Resources,463495,Alenka,Barriga,1965-01-28,F,Senior Staff,1993-05-06,9999-01-01
Development,241254,Jagoda,Anguita,1965-01-15,F,Senior Engineer,1993-05-11,9999-01-01
Development,40283,Sudhanshu,Boissier,1965-01-07,M,Senior Engineer,1993-05-11,9999-01-01
Marketing,269728,Naftali,Kragelund,1965-01-12,M,Senior Staff,1993-05-15,9999-01-01
Sales,424797,Theron,Itschner,1965-01-19,F,Senior Staff,1993-05-16,9999-01-01
Human Resources,401154,Danae,Kragelund,1965-01-27,F,Senior Staff,1993-05-19,9999-01-01
Sales,487008,Zhigen,Raney,1965-01-22,F,Senior Staff,1993-05-26,9999-01-01
Sales,214215,Xiaoqiang,Cardazo,1965-01-25,M,Senior Staff,1993-05-28,9999-01-01
Development,420086,Susuma,Kitsuregawa,1965-01-27,F,Senior Engineer,1993-05-28,9999-01-01
Sales,84236,Eberhardt,Barriga,1965-01-18,F,Senior Staff,1993-06-03,9999-01-01
Customer Service,498456,Geraldo,Gerteisen,1965-01-17,M,Senior Staff,1993-06-04,9999-01-01
Development,75354,Shuky,Jakobus,1965-01-11,M,Senior Engineer,1993-06-16,9999-01-01
Production,55799,Jianwen,Litzler,1965-01-23,F,Senior Engineer,1993-06-16,9999-01-01
Sales,441197,Miquel,Legleitner,1965-01-18,F,Senior Staff,1993-06-28,9999-01-01
Production,19236,Elzbieta,Morris,1965-01-24,F,Senior Engineer,1993-07-12,9999-01-01
Customer Service,91172,Kazuhisa,Melter,1965-01-19,M,Senior Staff,1993-07-15,9999-01-01
Human Resources,103196,Djenana,Albarhamtoshy,1965-01-16,M,Senior Staff,1993-07-16,9999-01-01
Sales,282343,Xinglin,Haldar,1965-01-13,M,Senior Staff,1993-07-20,9999-01-01
Human Resources,295254,Xuejun,Pfau,1965-01-15,M,Senior Staff,1993-07-24,9999-01-01
Sales,263649,Mechthild,Zongker,1965-01-17,M,Senior Staff,1993-07-26,9999-01-01
Marketing,270084,Ulises,Frolund,1965-01-11,M,Senior Staff,1993-07-26,9999-01-01
Development,294857,Caolyn,Ozeri,1965-01-15,M,Senior Engineer,1993-07-29,9999-01-01
Production,491596,Charmane,Pargas,1965-01-21,F,Senior Engineer,1993-07-29,9999-01-01
Production,68633,Chinhyun,Rassart,1965-01-28,F,Senior Engineer,1993-07-29,9999-01-01
Production,31207,Abdelwaheb,Dulin,1965-01-30,F,Senior Engineer,1993-08-05,9999-01-01
Research,207401,Shuji,Barbanera,1965-01-04,M,Senior Staff,1993-08-09,9999-01-01
Marketing,465409,Shahid,Varman,1965-01-30,M,Senior Staff,1993-08-27,9999-01-01
Human Resources,278452,Sudhanshu,Toyoshima,1965-01-07,F,Senior Staff,1993-08-28,9999-01-01
Human Resources,429703,Ung,Honglei,1965-01-06,F,Senior Staff,1993-09-02,9999-01-01
Quality Management,246146,Zhongwei,Melski,1965-01-30,F,Senior Engineer,1993-09-03,9999-01-01
Marketing,92846,Anyuan,Kropatsch,1965-01-11,M,Senior Staff,1993-09-05,9999-01-01
Sales,290441,Gregory,Collavizza,1965-01-25,F,Senior Staff,1993-09-08,9999-01-01
Quality Management,217320,Abdelwaheb,Denis,1965-01-10,F,Engineer,1993-09-10,9999-01-01
Sales,274271,Prodip,Ritcey,1965-01-10,F,Senior Staff,1993-09-10,9999-01-01
Research,294652,Hironobu,Brodie,1965-01-27,M,Senior Engineer,1993-09-17,9999-01-01
Development,24205,Roddy,Rubsam,1965-01-25,F,Senior Engineer,1993-09-19,9999-01-01
Finance,423214,Tsutomu,Tetzlaff,1965-01-31,F,Senior Staff,1993-09-23,9999-01-01
Development,213384,Pranas,Narwekar,1965-01-04,F,Senior Engineer,1993-09-26,9999-01-01
Sales,280420,Jahangir,Hofting,1965-01-31,M,Senior Staff,1993-09-28,9999-01-01
Production,426958,Weijing,Viele,1965-01-19,M,Senior Engineer,1993-10-03,9999-01-01
Finance,251166,Hinrich,Hooghiemstra,1965-01-22,M,Senior Staff,1993-10-05,9999-01-01
Development,429249,Alassane,Wolniewicz,1965-01-28,M,Senior Engineer,1993-10-06,9999-01-01
Quality Management,469529,Neven,Rikino,1965-01-07,M,Senior Engineer,1993-10-21,9999-01-01
Customer Service,426824,Gopalakrishnan,Mawatari,1965-01-25,F,Senior Staff,1993-10-29,9999-01-01
Research,289687,Fai,Maccarone,1965-01-31,F,Senior Staff,1993-10-30,9999-01-01
Research,487505,Uno,Jayawardene,1965-01-20,F,Senior Staff,1993-11-01,9999-01-01
Development,56682,Roded,Picco,1965-01-28,F,Assistant Engineer,1993-11-06,9999-01-01
Development,400780,Poornachandra,Asser,1965-01-09,M,Engineer,1993-11-07,9999-01-01
Development,202826,Kerhong,Matzke,1965-01-19,M,Senior Engineer,1993-11-14,9999-01-01
Sales,48275,Sariel,Massonet,1965-01-29,F,Senior Staff,1993-11-19,9999-01-01
Development,449984,Hinrich,Perin,1965-02-01,F,Senior Engineer,1993-11-20,9999-01-01
Marketing,106710,Babette,Anandan,1965-01-31,M,Senior Staff,1993-11-22,9999-01-01
Production,281859,Masanao,Papastamatiou,1965-01-17,F,Senior Engineer,1993-11-25,9999-01-01
Marketing,416877,Gio,Orsini,1965-01-02,M,Senior Staff,1993-12-07,9999-01-01
